Station Date(NZST) Height(m) Pressure(hPa) Tair(C) Tdew(C) Dir(degT) Speed(m/s) StdFlag RsdFlag WndFlag IceFlag TurFlag Orig 
1410 20111002:1200 5161 535.0 -14.5 -18.9 - - N 1 - - - U 
1410 20111002:1200 5426 517.0 - - 330 14.9 N - 1 - H U 
1410 20111002:1200 5671 500.0 -18.1 -21.6 330 15.4 Y 0 0 0 P U 
1410 20111002:1200 6100 472.0 -20.9 -25.9 - - N 1 - - - U 
1410 20111002:1200 6326 458.0 - - 340 12.4 N - 1 - H U 
1410 20111002:1200 6665 437.0 -25.5 -27.6 - - N 1 - - - U 
1410 20111002:1200 6926 421.0 - - 310 16.0 N - 1 - H U 
1410 20111002:1200 7125 410.0 -28.7 -34.7 - - N 1 - - - U 
1410 20111002:1200 7226 404.0 - - 305 17.5 N - 1 - H U 
1410 20111002:1200 7301 400.0 -30.3 -36.3 305 18.0 Y 0 0 0 P U 
1410 20111002:1200 7572 385.0 -32.7 -36.5 - - N 1 - - - U 
1410 20111002:1200 8726 325.0 - - 295 18.5 N - 1 - H U 
1410 20111002:1200 9209 303.0 -47.1 -55.1 - - N 1 - - - U 
1410 20111002:1200 9275 300.0 -47.7 -55.7 295 24.7 Y 0 0 0 P U 
1410 20111002:1200 9634 284.0 -51.1 -56.1 - - N 1 - - - U 
1410 20111002:1200 10201 260.0 - - 290 35.5 N - 2 - P U 
1410 20111002:1200 10226 259.0 - - 290 35.5 N - 1 - H U 
1410 20111002:1200 10428 251.0 -56.7 -61.7 - - N 3 - - - U 
1410 20111002:1200 10453 250.0 -56.7 -61.7 280 33.5 Y 0 0 0 P U 
1410 20111002:1200 10526 247.0 - - 280 34.0 N - 1 - H U 
1410 20111002:1200 10819 236.0 -55.9 -70.9 265 32.9 N 1 1 - H U 
1410 20111002:1200 11382 216.0 -56.5 -82.5 - - N 1 - - - U 
1410 20111002:1200 11426 215.0 - - 270 24.7 N - 1 - H U 
1410 20111002:1200 11726 205.0 - - 275 30.9 N - 1 - H U 
1410 20111002:1200 11876 200.0 -51.3 -84.3 270 23.7 Y 1 0 0 P U 
1410 20111002:1200 12326 186.0 - - 270 17.5 N - 1 - H U 
1410 20111002:1200 12482 182.0 -56.1 -88.1 - - N 1 - - - U 
1410 20111002:1200 12626 178.0 - - 295 20.1 N - 1 - H U 
1410 20111002:1200 12660 177.0 -54.1 -86.1 - - N 1 - - - U 
1410 20111002:1200 13226 162.0 - - 275 23.2 N - 1 - H U 
1410 20111002:1200 13526 154.0 - - 290 22.6 N - 1 - H U 
1410 20111002:1200 13711 150.0 -58.7 -87.7 290 23.7 Y 3 0 0 P U 
1410 20111002:1200 14056 142.0 -57.7 -87.7 - - N 1 - - - U 
1410 20111002:1200 14126 140.0 - - 290 34.5 N - 1 - H U 
1410 20111002:1200 14239 138.0 -51.7 -84.7 - - N 1 - - - U 
1410 20111002:1200 14382 135.0 -51.7 -84.7 - - N 1 - - - U 
1410 20111002:1200 14426 134.0 - - 265 23.2 N - 1 - H U 
1410 20111002:1200 15026 122.0 - - 260 16.5 N - 1 - H U 
1410 20111002:1200 15139 120.0 -55.9 -87.9 - - N 1 - - - U 
1410 20111002:1200 15326 117.0 - - 315 11.8 N - 1 - H U 
1410 20111002:1200 15626 111.0 - - 305 18.0 N - 1 - H U 
1410 20111002:1200 15926 106.0 - - 290 13.4 N - 1 - H U 
1410 20111002:1200 16236 101.0 -55.9 -87.9 270 11.3 N 1 1 - H U 
1410 20111002:1200 16299 100.0 -56.3 -88.3 270 11.8 Y 0 0 0 P U 
1410 20111002:1200 16492 97.0 -57.3 -89.3 - - N 1 - - - U 
1410 20111002:1200 16526 96.5 - - 250 6.2 N - 1 - H U 
1410 20111002:1200 16826 92.0 - - 290 3.1 N - 1 - H U 
1410 20111002:1200 17126 87.8 - - 315 5.1 N - 1 - H U 
1410 20111002:1200 17426 83.7 - - 305 8.2 N - 1 - H U 
1410 20111002:1200 17726 79.9 - - 285 6.2 N - 1 - H U 
1410 20111002:1200 18026 76.2 - - 320 2.6 N - 1 - H U 
1410 20111002:1200 18326 72.7 - - 275 7.2 N - 1 - H U 
1410 20111002:1200 18562 70.0 -55.9 -87.9 265 5.1 Y 0 0 0 P U 
1410 20111002:1200 18626 69.3 - - 270 5.1 N - 1 - H U 
1410 20111002:1200 19526 60.2 - - 140 3.1 N - 1 - H U 
1410 20111002:1200 19826 57.5 - - 185 9.3 N - 1 - H U 
1410 20111002:1200 20126 54.9 - - 170 9.8 N - 1 - H U 
1410 20111002:1200 20426 52.4 - - 90 6.7 N - 1 - H U 
1410 20111002:1200 20722 50.0 -52.3 -85.3 115 7.2 Y 0 1 0 P U 
1410 20111002:1200 21326 45.6 - - 85 6.7 N - 1 - H U 
1410 20111002:1200 21626 43.5 - - 100 6.7 N - 1 - H U 
1410 20111002:1200 21926 41.5 - - 70 5.1 N - 1 - H U 
1410 20111002:1200 22226 39.7 - - 70 3.1 N - 1 - H U 
1410 20111002:1200 22526 37.9 - - 130 5.7 N - 1 - H U 
1410 20111002:1200 22826 36.2 - - 135 6.7 N - 1 - H U 
1410 20111002:1200 23426 33.0 - - 150 11.3 N - 1 - H U 
1410 20111002:1200 24038 30.0 -50.9 -84.9 140 17.5 Y 0 0 0 P U 
1410 20111002:1200 25229 25.0 -49.7 -83.7 - - N 1 - - - U 
1410 20111003:0000 26 1010.0 16.0 15.3 35 7.7 Y 4 4 - H U 
1410 20111003:0000 111 1000.0 15.0 14.0 - - Y 0 - 0 - U 
1410 20111003:0000 239 985.0 14.0 13.8 - - N 1 - - - U 
1410 20111003:0000 326 975.0 - - 20 13.4 N - 1 - H U 
1410 20111003:0000 626 941.0 - - 20 19.0 N - 1 - H U 
1410 20111003:0000 768 925.0 11.4 11.1 - - Y 0 - 0 - U 
1410 20111003:0000 926 908.0 - - 10 20.6 N - 1 - H U 
1410 20111003:0000 1212 877.0 8.4 5.5 - - N 1 - - - U 
1410 20111003:0000 1471 850.0 8.4 6.0 350 18.5 Y 0 0 0 P U 
1410 20111003:0000 1526 844.0 - - 345 18.0 N - 1 - H U 
1410 20111003:0000 1589 838.0 7.8 5.1 - - N 1 - - - U 
1410 20111003:0000 1826 814.0 - - 335 16.5 N - 1 - H U 
1410 20111003:0000 2126 785.0 - - 350 10.3 N - 1 - H U 
1410 20111003:0000 2209 777.0 3.8 2.8 - - N 1 - - - U 
1410 20111003:0000 2426 756.0 - - 355 10.8 N - 1 - H U 
1410 20111003:0000 2726 729.0 - - 335 11.8 N - 1 - H U 
1410 20111003:0000 2770 725.0 0.8 -5.2 - - N 1 - - - U 
1410 20111003:0000 2949 709.0 -0.5 -1.4 - - N 1 - - - U 
1410 20111003:0000 3051 700.0 -1.3 -1.8 315 13.4 Y 0 0 0 P U 
1410 20111003:0000 3259 682.0 -2.5 -2.7 - - N 1 - - - U 
1410 20111003:0000 3326 676.0 - - 305 11.8 N - 1 - H U 
1410 20111003:0000 3626 651.0 - - 335 9.3 N - 1 - H U 
1410 20111003:0000 4226 603.0 - - 345 12.9 N - 1 - H U 
1410 20111003:0000 4278 599.0 -8.9 -10.8 - - N 1 - - - U 
1410 20111003:0000 4409 589.0 -7.7 -16.7 - - N 1 - - - U 
1410 20111003:0000 4718 566.0 -9.5 -38.5 - - N 1 - - - U 
1410 20111003:0000 4826 558.0 - - 270 11.8 N - 1 - H U 
1410 20111003:0000 4911 552.0 -11.1 -39.1 - - N 1 - - - U 
1410 20111003:0000 5108 538.0 -12.7 -23.7 - - N 1 - - - U 
1410 20111003:0000 5126 537.0 - - 305 7.7 N - 1 - H U 
1410 20111003:0000 5237 529.0 -13.3 -48.3 - - N 1 - - - U 
1410 20111003:0000 5663 500.0 -17.3 -27.3 270 10.3 Y 0 0 0 P U 
1410 20111003:0000 5726 496.0 - - 270 10.3 N - 1 - H U 
1410 20111003:0000 5769 493.0 -18.1 -27.1 - - N 1 - - - U 
1410 20111003:0000 5968 480.0 -19.3 -38.3 - - N 1 - - - U 
1410 20111003:0000 6026 476.0 - - 305 6.7 N - 1 - H U 
1410 20111003:0000 6412 452.0 -23.3 -33.3 - - N 1 - - - U 
1410 20111003:0000 6626 439.0 - - 295 9.8 N - 1 - H U 
1410 20111003:0000 6793 429.0 -25.5 -28.6 - - N 1 - - - U 
1410 20111003:0000 6926 421.0 - - 340 7.7 N - 1 - H U 
1410 20111003:0000 7226 404.0 - - 325 9.3 N - 1 - H U 
1410 20111003:0000 7297 400.0 -29.3 -34.1 325 9.8 Y 0 0 0 P U 
1410 20111003:0000 8126 355.0 - - 350 14.4 N - 1 - H U 
1410 20111003:0000 8560 334.0 -38.9 -46.9 - - N 1 - - - U 
1410 20111003:0000 9286 300.0 -45.9 -50.3 295 21.6 Y 0 0 0 P U 
1410 20111003:0000 9326 298.0 - - 295 23.2 N - 1 - H U 
1410 20111003:0000 9353 297.0 -46.5 -50.8 - - N 1 - - - U 
1410 20111003:1200 26 1005.0 19.0 17.3 40 9.3 Y 4 4 - H U 
1410 20111003:1200 69 1000.0 17.6 15.2 - - Y 0 - 3 - U 
1410 20111003:1200 207 984.0 16.0 14.5 - - N 1 - - - U 
1410 20111003:1200 326 970.0 - - 20 14.4 N - 1 - H U 
1410 20111003:1200 626 936.0 - - 10 19.0 N - 1 - H U 
1410 20111003:1200 730 925.0 12.0 11.7 - - Y 0 - 0 - U 
1410 20111003:1200 867 910.0 11.0 10.6 - - N 1 - - - U 
1410 20111003:1200 926 904.0 - - 5 22.1 N - 1 - H U 
1410 20111003:1200 1044 891.0 12.2 5.2 - - N 1 - - - U 
1410 20111003:1200 1438 850.0 10.2 5.2 350 23.2 Y 0 0 0 P U 
1410 20111003:1200 1526 841.0 - - 345 23.7 N - 1 - H U 
1410 20111003:1200 1826 811.0 - - 345 24.2 N - 1 - H U 
