date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
24/05/15,<75th,<75th,<75th,270,0,NOBH,NA,,HSE,NW,9.4,13.2,686,NA,9,8,7,NA,NA,UP,,NA,NA,NA,2015,blocking
25/05/15,<75th,<75th,<75th,271,0,NOBH,NA,,HE,NW,3.7,13.8,1242,NA,10,9,14.2,NA,NA,UP,,NA,NA,NA,2015,blocking
26/05/15,<75th,<75th,<75th,272,0,NOBH,NA,,W,SW,9.5,13.9,380,NA,8,7,19.1,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
27/05/15,>95th,>75th,>75th,273,0,NOBH,NA,,T,SE,2.2,14,1227,NA,19,14,42.9,NA,NA,UP,,NA,NA,NA,2015,through
28/05/15,>90th,>75th,>90th,274,2,BH,0,,T,W,1.3,13.4,NA,NA,25,21,41.6,NA,NA,UP,DRY,NA,NA,NA,2015,through
29/05/15,>75th,>95th,>95th,275,2,BH,NA,,T,NW,6.2,13.3,NA,NA,33,27,35.9,NA,NA,SP1,DRY,NA,NA,NA,2015,through
30/05/15,<75th,>75th,>75th,276,0,NOBH,NA,,HE,SW,4.7,16.4,NA,NA,23,18,17.1,NA,NA,UP,DRY,NA,NA,NA,2015,blocking
31/05/15,<75th,<75th,<75th,277,0,NOBH,NA,,H,SE,2.2,14.3,1000,NA,14,10,6.5,NA,NA,UP,,NA,NA,NA,2015,zonal
1/06/15,<75th,<75th,<75th,278,0,NOBH,NA,,TNW,S,2.2,16.9,526,NA,6,5,6.4,NA,NA,UP,,NA,NA,NA,2015,through
3/06/15,<75th,<75th,<75th,280,0,NOBH,NA,,T,W,2,15,1000,NA,14,12,11.8,NA,NA,UP,,NA,NA,NA,2015,through
4/06/15,<75th,<75th,<75th,281,0,NOBH,NA,,SW,N,1.9,14.8,292,NA,13,10,25.3,NA,NA,UP,,NA,NA,NA,2015,through
5/06/15,>75th,>75th,>90th,282,0,NOBH,NA,,HNW,W,1.4,15.4,837,NA,24,20,34.2,NA,NA,UP,,NA,NA,NA,2015,zonal
7/06/15,<75th,<75th,<75th,284,0,NOBH,NA,,H,NE,4.4,13.2,350,NA,16,13,28.3,NA,NA,UP?,DRY,NA,NA,NA,2015,zonal
8/06/15,>75th,>95th,>95th,285,0,NOBH,NA,,W,NE,4.5,14.1,NA,NA,40,31,38.6,NA,NA,SP1,,NA,NA,NA,2015,zonal
10/06/15,<75th,<75th,<75th,287,0,NOBH,NA,,HNW,NE,6.5,16.1,1086,NA,7,5,22.1,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
11/06/15,<75th,<75th,<75th,288,0,NOBH,NA,,TNW,N,4.7,16.8,1300,NA,12,8,27.2,NA,NA,UP,,NA,NA,NA,2015,through
12/06/15,<75th,<75th,<75th,289,0,NOBH,NA,,TNW,SE,3,15.2,1373,NA,11,7,23.8,NA,NA,SP2,DRY,NA,NA,NA,2015,through
13/06/15,<75th,<75th,<75th,290,0,NOBH,NA,,T,SE,3.7,15.1,1383,NA,9,8,7.7,NA,NA,SP2,DRY,NA,NA,NA,2015,through
14/06/15,<75th,<75th,<75th,291,0,NOBH,NA,,SW,SW,3,15.4,920,NA,9,7,10.3,NA,NA,SP1,DRY,NA,NA,NA,2015,through
15/06/15,<75th,<75th,<75th,292,0,NOBH,NA,,HNW,W,0.8,14.2,355,NA,11,7,26.8,NA,NA,UP,,NA,NA,NA,2015,zonal
