date,BH,bh,ceilmoter.signal,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year
8/08/14,0,NOBH,,HNW,WSW,10.9,13.8,1350,28,18,7,24,62.1,150.8,SP2,DRY,NOBH,,X,2014
9/08/14,0,NOBH,,H,S,3.5,12.1,1850,43,20,13,23,42.9,120.2,UP,DRY,NOBH,,,2014
10/08/14,0,NOBH,,W,WNW,1.7,15.4,700,22,19,8,20,40.9,118.5,UP,DRY,NOBH,,X,2014
11/08/14,0,NOBH,,W,NNW,5.1,15.2,750,67,10,4,14,52.7,154.9,SP2,DRY,NOBH,,X,2014
12/08/14,0,NOBH,,HNW,W,7.5,14.3,250,80,10,4,16,55.6,164.3,UP,,NOBH,,,2014
13/08/14,0,NOBH,,H,WSW,9,13,250,31,16,4,20,57.9,163.6,UP,,NOBH,,,2014
14/08/14,0,NOBH,,NA,WSW,12,11,1050,34,18,6,22,49.6,137.2,UP,,NOBH,,,2014
15/08/14,0,NOBH,,HNW,SW,10.2,13.9,800,24,NA,NA,37,45,100.1,UP,DRY,NOBH,,,2014
16/08/14,NA,NOBH,,W,SW,6.8,14.4,800,30,29,9,28,43.4,98.3,SP2,,NOBH,,,2014
17/08/14,NA,NOBH,,SW,SW,2.6,15.4,800,22,20,8,20,35.2,69.3,UP,DRY,NOBH,,X,2014
18/08/14,NA,NOBH,1,HNW,W,1.5,15,400,38,20,11,27,51.5,134.7,SP2,DRY,NOBH,,X,2014
19/08/14,0,NOBH,,H,NE,7,14.3,850,36,14,5,12,NA,NA,UP,,NOBH,,,2014
20/08/14,0,NOBH,,SW,NNE,4.1,15.5,250,25,14,5,14,NA,NA,UP,,NOBH,,,2014
21/08/14,0,NOBH,,W,SSW,8.5,14.9,500,23,17,7,20,NA,NA,UP,,NOBH,,,2014
22/08/14,0,NOBH,,HNW,S,3.1,11.4,550,24,17,7,17,43.9,86.8,SP2,DRY,NOBH,,,2014
23/08/14,0,NOBH,,H,SW,6.5,14,1050,50,24,7,22,43.1,97.9,SP1,DRY,BH?,,X,2014
24/08/14,0,NOBH,,HNW,WSW,2.8,14.8,NA,NA,12,8,13,38.5,85.7,SP1,DRY,NOBH,,,2014
25/08/14,0,NOBH,,HNW,WSW,1.6,14,200,44,17,8,14,40.5,99.5,SP2,DRY,NOBH,,,2014
26/08/14,NA,NOBH,,W,NNE,3.4,14.8,750,75,10,6,10,32.7,49.2,UP,DRY,NOBH,,,2014
27/08/14,0,NOBH,,SW,NE,5.3,13.6,1100,48,17,7,12,20.1,32.1,UP,,NOBH,,,2014
28/08/14,NA,NOBH,,HNW,ENE,6.3,15.2,1400,29,14,4,13,14.3,17.5,UP,DRY,NOBH,,X,2014
29/08/14,NA,NOBH,,H,ENE,6.2,16,700,23,18,4,13,22.4,31.2,SP1,DRY,NOBH,,,2014
30/08/14,NA,NOBH,,HSE,ENE,6,14.4,1050,57,8,2,10,5.5,7.2,UP,,NOBH,,,2014
31/08/14,NA,NOBH,,W,E,5,13,1350,13,9,3,8,4.3,5.7,UP,,NOBH,,,2014
1/05/15,2,BH,0,H,SW,2.2,18.3,1451,NA,32,19,42.5,NA,NA,SP2,,NA,NA,NA,2015
2/05/15,0,NOBH,,H,W,1.6,18,1232,NA,14,9,28.6,NA,NA,SP2,DRY,NA,NA,NA,2015
3/05/15,0,NOBH,,H,NW,2.8,18.3,1300,NA,11,6,28.9,NA,NA,SP2,DRY,NA,NA,NA,2015
4/05/15,0,NOBH,,HSE,N,3.2,18.8,NA,NA,13,9,25.2,NA,NA,SP2,DRY,NA,NA,NA,2015
5/05/15,0,NOBH,,HE,NE,7.4,18.7,1398,NA,16,10,13.6,NA,NA,SP2,DRY,NA,NA,NA,2015
6/05/15,1,NOBH,,W,W,4.8,20.1,800,NA,19,13,9.4,NA,NA,SP2,DRY,NA,NA,NA,2015
7/05/15,0,NOBH,,T,NW,3.7,20.9,228,NA,18,13,6.2,NA,NA,SP1,,NA,NA,NA,2015
8/05/15,0,NOBH,,T,N,2.4,17,NA,NA,11,9,30,NA,NA,UP,,NA,NA,NA,2015
9/05/15,0,NOBH,,T,NW,4.4,18.4,NA,NA,21,14,30.5,NA,NA,UP,,NA,NA,NA,2015
10/05/15,0,NOBH,,TNW,S,2.5,19.7,NA,NA,16,10,24.7,NA,NA,UP,DRY,NA,NA,NA,2015
11/05/15,0,NOBH,,H,W,0.8,19.9,NA,NA,22,14,21.7,NA,NA,UP,,NA,NA,NA,2015
12/05/15,0,NOBH,,H,N,1.5,17.3,774,NA,9,7,13.6,NA,NA,UP,,NA,NA,NA,2015
13/05/15,0,NOBH,,H,NW,2.5,19.3,1437,NA,18,10,30,NA,NA,SP2,DRY,NA,NA,NA,2015
14/05/15,0,NOBH,,HSE,SW,6.1,18.3,2723,NA,12,9,8.9,NA,NA,UP,,NA,NA,NA,2015
15/05/15,0,NOBH,,HE,SW,9,12.7,964,NA,10,7,19.9,NA,NA,UP,,NA,NA,NA,2015
16/05/15,0,NOBH,,W,SW,3.7,16,930,NA,16,11,29.9,NA,NA,UP,,NA,NA,NA,2015
17/05/15,0,NOBH,,T,SW,6.1,15.8,370,NA,24,17,27.3,NA,NA,SP2,DRY,NA,NA,NA,2015
18/05/15,0,NOBH,,T,SW,1.4,14.5,643,NA,18,13,26.7,NA,NA,SP2,DRY,NA,NA,NA,2015
19/05/15,0,NOBH,,T,SW,6.2,16.5,306,NA,20,14,31.4,NA,NA,UP,,NA,NA,NA,2015
20/05/15,0,NOBH,1,W,SW,3.4,16.6,1456,NA,27,18,36.6,NA,NA,SP2,DRY,NA,NA,NA,2015
21/05/15,0,NOBH,,H,W,5.2,17.1,647,NA,14,11,23.3,NA,NA,UP,DRY,NA,NA,NA,2015
22/05/15,0,NOBH,,H,SW,7.7,15.8,779,NA,NA,NA,NA,NA,NA,SP2,DRY,NA,NA,NA,2015
23/05/15,0,NOBH,,H,W,7.9,13.3,151,NA,17,13,23,NA,NA,SP1,,NA,NA,NA,2015
24/05/15,0,NOBH,,HSE,NW,9.4,13.2,686,NA,9,8,7,NA,NA,UP,,NA,NA,NA,2015
25/05/15,0,NOBH,,HE,NW,3.7,13.8,1242,NA,10,9,14.2,NA,NA,UP,,NA,NA,NA,2015
26/05/15,0,NOBH,,W,SW,9.5,13.9,380,NA,8,7,19.1,NA,NA,UP,DRY,NA,NA,NA,2015
27/05/15,0,NOBH,,T,SE,2.2,14,1227,NA,19,14,42.9,NA,NA,UP,,NA,NA,NA,2015
28/05/15,2,BH,0,T,W,1.3,13.4,NA,NA,25,21,41.6,NA,NA,UP,DRY,NA,NA,NA,2015
29/05/15,2,BH,NA,T,NW,6.2,13.3,NA,NA,33,27,35.9,NA,NA,SP1,DRY,NA,NA,NA,2015
30/05/15,0,NOBH,,HE,SW,4.7,16.4,NA,NA,23,18,17.1,NA,NA,UP,DRY,NA,NA,NA,2015
31/05/15,0,NOBH,,H,SE,2.2,14.3,1000,NA,14,10,6.5,NA,NA,UP,,NA,NA,NA,2015
1/06/15,0,NOBH,,TNW,S,2.2,16.9,526,NA,6,5,6.4,NA,NA,UP,,NA,NA,NA,2015
2/06/15,0,NOBH,,TNW,S,2.7,18,433,NA,14,11,6,NA,NA,UP,,NA,NA,NA,2015
3/06/15,0,NOBH,,T,W,2,15,1000,NA,14,12,11.8,NA,NA,UP,,NA,NA,NA,2015
4/06/15,0,NOBH,,SW,N,1.9,14.8,292,NA,13,10,25.3,NA,NA,UP,,NA,NA,NA,2015
5/06/15,0,NOBH,,HNW,W,1.4,15.4,837,NA,24,20,34.2,NA,NA,UP,,NA,NA,NA,2015
6/06/15,0,NOBH,,H,NW,1,14,867,NA,40,31,31.5,NA,NA,SP1,DRY,NA,NA,NA,2015
7/06/15,0,NOBH,,H,NE,4.4,13.2,350,NA,16,13,28.3,NA,NA,UP?,DRY,NA,NA,NA,2015
8/06/15,0,NOBH,,W,NE,4.5,14.1,NA,NA,40,31,38.6,NA,NA,SP1,,NA,NA,NA,2015
9/06/15,0,NOBH,,W,NE,7.3,15.1,1295,NA,33,24,33,NA,NA,SP1,DRY,NA,NA,NA,2015
10/06/15,0,NOBH,,HNW,NE,6.5,16.1,1086,NA,7,5,22.1,NA,NA,SP2,DRY,NA,NA,NA,2015
11/06/15,0,NOBH,,TNW,N,4.7,16.8,1300,NA,12,8,27.2,NA,NA,UP,,NA,NA,NA,2015
12/06/15,0,NOBH,,TNW,SE,3,15.2,1373,NA,11,7,23.8,NA,NA,SP2,DRY,NA,NA,NA,2015
13/06/15,0,NOBH,,T,SE,3.7,15.1,1383,NA,9,8,7.7,NA,NA,SP2,DRY,NA,NA,NA,2015
14/06/15,0,NOBH,,SW,SW,3,15.4,920,NA,9,7,10.3,NA,NA,SP1,DRY,NA,NA,NA,2015
15/06/15,0,NOBH,,HNW,W,0.8,14.2,355,NA,11,7,26.8,NA,NA,UP,,NA,NA,NA,2015
16/06/15,0,NOBH,,H,NE,5.7,12.2,NA,NA,18,14,39.6,NA,NA,UP,DRY,NA,NA,NA,2015
17/06/15,1,NOBH,,H,W,8.6,15.1,204,NA,25,18,38.3,NA,NA,SP2,DRY,NA,NA,NA,2015
18/06/15,0,NOBH,,W,W,6,13.6,1349,NA,9,5,25.2,NA,NA,SP2,DRY,NA,NA,NA,2015
19/06/15,0,NOBH,,W,W,5.6,18.1,1013,NA,12,8,NA,NA,NA,SP2,DRY,NA,NA,NA,2015
20/06/15,0,NOBH,,T,SW,9.2,17.1,282,NA,15,10,NA,NA,NA,UP,,NA,NA,NA,2015
21/06/15,0,NOBH,,TNW,W,5,14.3,842,NA,7,5,NA,NA,NA,UP,,NA,NA,NA,2015
22/06/15,0,NOBH,,TNW,W,2,13.2,974,NA,11,7,NA,NA,NA,SP2,DRY,NA,NA,NA,2015
23/06/15,0,NOBH,,T,SW,1.4,9.4,NA,NA,13,7,42.8,NA,NA,SP1,,NA,NA,NA,2015
24/06/15,0,NOBH,,SW,NE,7.2,10.6,292,NA,16,11,43.1,NA,NA,SP1,,NA,NA,NA,2015
25/06/15,0,NOBH,,HNW,NE,10.9,12,1008,NA,11,8,39.1,NA,NA,SP2,DRY,NA,NA,NA,2015
26/06/15,0,NOBH,,H,N,2.3,15.4,891,NA,9,6,27.1,NA,NA,SP2?,DRY,NA,NA,NA,2015
27/06/15,0,NOBH,,H,NW,4.1,14.9,1188,NA,9,7,16.6,NA,NA,SP2,DRY,NA,NA,NA,2015
28/06/15,0,NOBH,,W,SW,10.8,14.2,906,NA,13,9,17.3,NA,NA,SP1,,NA,NA,NA,2015
29/06/15,0,NOBH,,W,NW,1.2,15.1,570,NA,11,8,19.2,NA,NA,UP,DRY,NA,NA,NA,2015
30/06/15,0,NOBH,,HNW,NE,8.1,15,959,NA,14,10,23.9,NA,NA,UP,,NA,NA,NA,2015
1/07/15,0,NOBH,,W,N,3.1,14.8,1140,NA,14,9,31.3,NA,NA,UP,DRY,NA,NA,NA,2015
2/07/15,0,NOBH,,T,W,8.9,14.6,774,NA,32,22,38.3,NA,NA,UP,DRY,NA,NA,NA,2015
3/07/15,0,NOBH,,SW,W,5.8,16.1,1471,NA,15,11,15.5,NA,NA,UP,,NA,NA,NA,2015
4/07/15,0,NOBH,,T,SW,3.4,14.2,302,NA,15,12,23.5,NA,NA,UP,,NA,NA,NA,2015
5/07/15,0,NOBH,,SW,W,11.2,14,1291,NA,11,8,9.1,NA,NA,SP2,DRY,NA,NA,NA,2015
6/07/15,0,NOBH,,SW,NE,2,16.4,613,NA,19,13,23.2,NA,NA,UP,,NA,NA,NA,2015
7/07/15,0,NOBH,,SW,E,5.3,16,769,NA,18,13,25.3,NA,NA,UP,,NA,NA,NA,2015
8/07/15,0,NOBH,,HW,E,8.8,10.6,618,NA,10,7,29.8,NA,NA,UP,,NA,NA,NA,2015
9/07/15,0,NOBH,,HW,E,8.7,9.6,NA,NA,7,4,32.4,NA,NA,UP,,NA,NA,NA,2015
10/07/15,0,NOBH,,H,NE,9,9.7,NA,NA,11,6,38.4,NA,NA,UP,,NA,NA,NA,2015
11/07/15,0,NOBH,,W,NE,9.5,10.4,NA,NA,15,11,32.7,NA,NA,SP1,,NA,NA,NA,2015
12/07/15,2,BH,0,T,NE,3.6,9.7,NA,NA,39,35,29.2,NA,NA,SP1,DRY,NA,NA,NA,2015
13/07/15,2,BH,0,SW,NW,3,11.6,1437,NA,23,19,27.3,NA,NA,SP1,DRY,NA,NA,NA,2015
14/07/15,0,NOBH,,T,S,1.4,13.4,1929,NA,9,6,NA,NA,NA,SP1,DRY,NA,NA,NA,2015
15/07/15,0,NOBH,,SW,S,3.2,14.2,500,NA,15,11,NA,NA,NA,UP,,NA,NA,NA,2015
16/07/15,0,NOBH,,SW,S,2.3,14.5,662,NA,17,12,NA,NA,NA,SP1,,NA,NA,NA,2015
17/07/15,0,NOBH,,SW,S,2.7,15,1237,NA,29,23,40.2,NA,NA,UP,,NA,NA,NA,2015
18/07/15,0,NOBH,,HW,S,2.2,11.6,800,NA,20,15,9.3,NA,NA,UP,,NA,NA,NA,2015
19/07/15,0,NOBH,,HW,SE,0.8,11.6,1232,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
20/07/15,0,NOBH,,HNW,S,3.3,13.3,1027,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
21/07/15,0,NOBH,,W,SW,10.4,13.8,1091,NA,16,10,34.7,NA,NA,UP,,NA,NA,NA,2015
22/07/15,2,BH,2,T,SW,3.6,14.3,500,NA,28,19,35.7,NA,NA,UP,,NA,NA,NA,2015
23/07/15,3,BH,2,SW,SW,8.7,12,672,NA,38,25,35.7,NA,NA,SP2,DRY,NA,NA,NA,2015
24/07/15,0,NOBH,,T,SW,1.9,12.4,774,NA,24,18,41.8,NA,NA,UP,DRY,NA,NA,NA,2015
25/07/15,0,NOBH,1,SW,SW,8.9,11.9,1227,NA,NA,NA,20.9,NA,NA,SP1,DRY,NA,NA,NA,2015
26/07/15,0,NOBH,,SW,W,1.5,14.6,1432,NA,14,10,3.3,NA,NA,UP,,NA,NA,NA,2015
27/07/15,0,NOBH,,SW,SW,3.9,14.4,116,NA,15,11,14.3,NA,NA,SP1,,NA,NA,NA,2015
28/07/15,0,NOBH,,HW,W,1.6,16.1,NA,NA,17,12,26.6,NA,NA,UP,,NA,NA,NA,2015
29/07/15,0,NOBH,,HW,N,3.9,13.6,1256,NA,12,9,25.2,NA,NA,UP,,NA,NA,NA,2015
30/07/15,0,NOBH,,H,NW,4.1,12,1534,NA,27,19,43.7,NA,NA,UP,DRY,NA,NA,NA,2015
31/07/15,0,NOBH,,W,NW,2.1,13.8,579,NA,22,16,41,NA,NA,SP2,DRY,NA,NA,NA,2015
1/08/15,0,NOBH,,HE,NE,4.2,14.7,1446,NA,17,12,30.7,NA,NA,SP2,DRY,NA,NA,NA,2015
2/08/15,0,NOBH,,HE,N,5.5,14.4,725,NA,17,12,25.5,NA,NA,UP,,NA,NA,NA,2015
3/08/15,0,NOBH,,W,NW,2.7,17.2,979,NA,13,9,25.4,NA,NA,UP,,NA,NA,NA,2015
4/08/15,0,NOBH,,W,SW,1.7,16.7,1200,NA,11,7,15.6,NA,NA,UP,,NA,NA,NA,2015
5/08/15,0,NOBH,,TNW,SW,11.3,12.2,151,NA,17,12,24.5,NA,NA,UP,,NA,NA,NA,2015
6/08/15,0,NOBH,,T,W,9.2,16.3,984,NA,17,11,23.4,NA,NA,UP,,NA,NA,NA,2015
7/08/15,0,NOBH,,T,W,5.3,12.7,550,NA,13,9,26.3,NA,NA,UP,,NA,NA,NA,2015
8/08/15,0,NOBH,,SW,SW,10.9,13.5,1378,NA,15,11,24.3,NA,NA,UP,,NA,NA,NA,2015
9/08/15,0,NOBH,,R,S,3.5,9.8,847,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
10/08/15,0,NOBH,,HSE,W,1.7,10.7,920,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
11/08/15,0,NOBH,,HE,NW,5.1,9.9,984,NA,5,4,29.2,NA,NA,SP1,,NA,NA,NA,2015
12/08/15,0,NOBH,,HE,W,7.5,12.1,988,NA,21,16,40.3,NA,NA,UP,,NA,NA,NA,2015
13/08/15,2,BH,0,W,W,9,14.2,1461,NA,18,14,25.7,NA,NA,UP,DRY,NA,NA,NA,2015
14/08/15,0,NOBH,,W,W,12,12.5,389,NA,18,13,13.8,NA,NA,UP,,NA,NA,NA,2015
15/08/15,0,NOBH,,TNW,SW,10.2,13.6,380,NA,11,8,24,NA,NA,UP,,NA,NA,NA,2015
16/08/15,0,NOBH,,T,SW,6.8,14.2,813,NA,9,6,20.6,NA,NA,UP,,NA,NA,NA,2015
17/08/15,0,NOBH,,T,SW,2.6,13.7,911,NA,12,8,23,NA,NA,SP1,,NA,NA,NA,2015
18/08/15,0,NOBH,,SW,W,1.5,14.2,818,NA,15,10,14,NA,NA,UP,,NA,NA,NA,2015
19/08/15,0,NOBH,,R,NE,7,12.6,881,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
20/08/15,0,NOBH,,H,NE,4.1,12.9,1000,NA,NA,NA,NA,NA,NA,UP,,NA,NA,NA,2015
21/08/15,0,NOBH,,HE,SW,8.5,13.5,NA,NA,NA,NA,NA,NA,NA,SP2,DRY,NA,NA,NA,2015
22/08/15,0,NOBH,,HE,S,3.1,13.8,847,NA,15,11,19.5,NA,NA,SP1,DRY,NA,NA,NA,2015
23/08/15,0,NOBH,,W,SW,6.5,16,NA,NA,14,10,14.7,NA,NA,UP,,NA,NA,NA,2015
24/08/15,0,NOBH,,W,W,2.8,16.6,1895,NA,8,5,10.5,NA,NA,UP,,NA,NA,NA,2015
25/08/15,0,NOBH,,TNW,SW,1.6,14.1,1000,NA,10,7,14.6,NA,NA,UP,,NA,NA,NA,2015
26/08/15,0,NOBH,,T,NE,3.4,14.6,1091,NA,11,6,32.5,NA,NA,UP,DRY,NA,NA,NA,2015
27/08/15,0,NOBH,,T,NE,5.3,15.3,1052,NA,24,16,30.6,NA,NA,SP2,DRY,NA,NA,NA,2015
28/08/15,2,BH,2,SW,E,6.3,15.8,228,NA,28,20,27.1,NA,NA,SP2,DRY,NA,NA,NA,2015
29/08/15,NA,NOBH,1,R,E,6.2,14.8,1164,NA,20,14,14.4,NA,NA,SP2,DRY,NA,NA,NA,2015
30/08/15,0,NOBH,,NE,E,6,15.6,443,NA,10,7,15.1,NA,NA,UP,,NA,NA,NA,2015
31/08/15,0,NOBH,2,HE,E,5,14.5,209,NA,18,13,16.1,NA,NA,UP,,NA,NA,NA,2015
