Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig
1410	20130102:1200	8235	359	-29.5	-49.5	-	-	N	1	-	-	-	U
1410	20130102:1200	8726	335	-	-	300	19	N	-	1	-	H	U
1410	20130102:1200	9109	317	-37.5	-42.5	-	-	N	1	-	-	-	U
1410	20130102:1200	9263	310	-39.1	-44.1	-	-	N	1	-	-	-	U
1410	20130102:1200	9487	300	-40.7	-46.7	305	19	Y	0	0	0	P	U
1410	20130102:1200	10526	257	-	-	290	24.7	N	-	1	-	H	U
1410	20130102:1200	10703	250	-50.3	-55.2	290	23.2	Y	0	0	0	P	U
1410	20130102:1200	10835	245	-51.5	-56.5	295	23.2	N	1	1	-	H	U
1410	20130102:1200	11726	213	-	-	280	36.5	N	-	1	-	H	U
1410	20130102:1200	12127	200	-60.1	-66.1	270	38.1	Y	0	0	0	P	U
1410	20130102:1200	12381	192	-61.9	-	-	-	N	1	-	-	-	U
1410	20130102:1200	12626	185	-	-	270	34	N	-	1	-	H	U
1410	20130102:1200	12816	179	-60.9	-	-	-	N	1	-	-	-	U
1410	20130102:1200	13226	167	-	-	280	41.7	N	-	1	-	H	U
1410	20130102:1200	13317	165	-	-	280	41.7	N	-	2	-	P	U
1410	20130102:1200	13861	151	-65.9	-	-	-	N	3	-	-	-	U
1410	20130102:1200	13901	150	-65.5	-	270	36	Y	0	0	0	P	U
1410	20130102:1200	14194	143	-62.1	-	-	-	N	1	-	-	-	U
1410	20130102:1200	14426	138	-	-	270	34	N	-	1	-	H	U
1410	20130102:1200	15326	119	-	-	280	28.3	N	-	1	-	H	U
1410	20130102:1200	15626	113	-	-	285	30.4	N	-	1	-	H	U
1410	20130102:1200	15801	110	-66.1	-	-	-	N	1	-	-	-	U
1410	20130102:1200	15926	108	-	-	280	30.9	N	-	1	-	H	U
1410	20130102:1200	16226	103	-	-	275	29.9	N	-	1	-	H	U
1410	20130102:1200	16320	101	-64.9	-	-	-	N	1	-	-	-	U
1410	20130102:1200	16381	100	-64.5	-	270	28.8	Y	0	0	0	P	U
1410	20130102:1200	16526	97.7	-	-	265	21.6	N	-	1	-	H	U
1410	20130102:1200	16826	93	-	-	285	18	N	-	1	-	H	U
1410	20130102:1200	17126	88.6	-	-	280	19.6	N	-	1	-	H	U
1410	20130102:1200	17426	84.4	-	-	295	12.4	N	-	1	-	H	U
1410	20130102:1200	17726	80.3	-	-	270	8.2	N	-	1	-	H	U
1410	20130102:1200	17908	78	-62.3	-	-	-	N	1	-	-	-	U
1410	20130102:1200	18026	76.5	-	-	320	5.1	N	-	1	-	H	U
1410	20130102:1200	18326	72.9	-	-	340	10.3	N	-	1	-	H	U
1410	20130102:1200	18573	70	-64.5	-	335	14.4	Y	0	0	0	P	U
1410	20130102:1200	18626	69.4	-	-	320	15.4	N	-	1	-	H	U
1410	20130102:1200	18750	68	-64.9	-	-	-	N	1	-	-	-	U
1410	20130102:1200	18926	66.1	-	-	305	14.4	N	-	1	-	H	U
1410	20130102:1200	19526	60	-	-	265	7.7	N	-	1	-	H	U
1410	20130102:1200	19737	58	-57.9	-89.9	-	-	N	1	-	-	-	U
1410	20130102:1200	20304	53	-59.3	-90.3	-	-	N	1	-	-	-	U
1410	20130102:1200	20426	52	-	-	0	0	N	-	1	-	H	U
1410	20130102:1200	20673	50	-55.3	-87.3	25	2.1	Y	0	0	0	P	U
1410	20130102:1200	20802	49	-54.5	-86.5	-	-	N	1	-	-	-	U
1410	20130102:1200	21205	46	-55.9	-87.9	-	-	N	1	-	-	-	U
1410	20130102:1200	21326	45.1	-	-	20	5.7	N	-	1	-	H	U
1410	20130102:1200	21626	43.1	-	-	360	5.7	N	-	1	-	H	U
1410	20130102:1200	21926	41.1	-	-	50	5.7	N	-	1	-	H	U
1410	20130102:1200	22226	39.2	-	-	50	5.7	N	-	1	-	H	U
1410	20130102:1200	22526	37.5	-	-	20	6.2	N	-	1	-	H	U
1410	20130102:1200	22826	35.7	-	-	90	5.7	N	-	1	-	H	U
1410	20130102:1200	23126	34.1	-	-	60	9.8	N	-	1	-	H	U
1410	20130102:1200	23426	32.6	-	-	50	10.3	N	-	1	-	H	U
1410	20130102:1200	23726	31.1	-	-	65	9.3	N	-	1	-	H	U
1410	20130102:1200	23954	30	-51.5	-84.5	90	11.3	Y	0	0	0	P	U
1410	20130102:1200	24026	29.7	-	-	95	9.8	N	-	1	-	H	U
1410	20130102:1200	24326	28.3	-	-	30	10.3	N	-	1	-	H	U
1410	20130102:1200	24626	27.1	-	-	70	8.8	N	-	1	-	H	U
1410	20130102:1200	24926	25.8	-	-	80	9.3	N	-	1	-	H	U
1410	20130102:1200	25826	22.5	-	-	90	16	N	-	1	-	H	U
1410	20130102:1200	25977	22	-49.7	-83.7	-	-	N	1	-	-	-	U
1410	20130102:1200	26126	21.4	-	-	70	15.4	N	-	1	-	H	U
1410	20130103:0000	26	1009	18	14.3	320	1.5	Y	4	4	-	H	U
