date,Kidson,Temp.original,found.correctly,updated.values,temp.updated,temp.final,siggi.original,found.correctly,updated.value,siggi.updated,siggi.final,wd,ws,tair,
7/04/13 12:00,H,-1,0,NA,-1,NA,1895,0,NA,1895,NA,168,4,16,
8/04/13 12:00,H,940,UPDATE,1500,1500,1500,1466,1,NA,1466,1466,219,2,19,
9/04/13 12:00,H,-1,0,NA,-1,NA,1237,0,NA,1237,NA,275,2,20,
10/04/13 12:00,H,-1,0,NA,-1,NA,"""NA""",0,NA,"""NA""",NA,252,3,20,
11/04/13 12:00,R,2059,0,NA,2059,NA,"""NA""",0,NA,"""NA""",NA,293,3,21,
12/04/13 12:00,TNW,1827,0,NA,1827,NA,1330,0,NA,1330,NA,235,5,21,
13/04/13 12:00,SW,1144,1,NA,1144,1144,1164,1,NA,1164,1164,238,1,20,
14/04/13 12:00,HSE,76,UPDATE,600,600,600,842,1,NA,842,842,44,2,21,
15/04/13 12:00,HSE,789,0,NA,789,NA,297,"""UPDATE""",700,700,700,62,6,18,
16/04/13 12:00,HSE,1235,0,NA,1235,NA,428,1,NA,428,428,44,11,19,
17/04/13 12:00,,-1,0,NA,-1,NA,613,1,NA,613,613,270,9,17,
18/04/13 12:00,H,1541,1,NA,1541,1541,1339,0,NA,1339,NA,239,7,21,
19/04/13 12:00,H,2001,0,NA,2001,NA,725,1,NA,725,725,24,4,19,
20/04/13 12:00,NE,-1,0,NA,-1,NA,1076,0,NA,1076,NA,20,4,22,
21/04/13 12:00,R,-1,0,NA,-1,NA,438,1,NA,438,438,26,6,20,
22/04/13 12:00,TNW,-1,0,NA,-1,NA,238,0,NA,238,NA,279,4,19,
23/04/13 12:00,SW,-1,0,NA,-1,NA,1227,0,NA,1227,NA,272,5,20,
24/04/13 12:00,HSE,2392,UPDATE,480,480,480,472,1,NA,472,472,272,3,15,
25/04/13 12:00,HSE,-1,0,NA,-1,NA,1217,1,NA,1217,1217,270,8,20,
26/04/13 12:00,HSE,1606,1,NA,1606,1606,1256,0,NA,1256,NA,242,9,19,
27/04/13 12:00,H,-1,0,NA,-1,NA,321,"""UPDATE""",800,800,800,257,8,19,
28/04/13 12:00,H,1151,1,NA,1151,1151,1110,1,NA,1110,1110,242,8,19,
29/04/13 12:00,H,1307,0,NA,1307,NA,988,1,NA,988,988,246,6,20,
30/04/13 12:00,H,1450,0,NA,1450,NA,911,1,NA,911,911,237,7,20,
1/05/13 12:00,HSE,701,1,NA,701,701,633,1,NA,633,633,194,3,19,
2/05/13 12:00,R,2302,0,NA,2302,NA,750,1,NA,750,750,30,5,20,
3/05/13 12:00,R,1561,0,NA,1561,NA,599,1,NA,599,599,46,5,19,
4/05/13 12:00,TSW,-1,0,NA,-1,NA,73,0,NA,73,NA,55,5,14,
5/05/13 12:00,TSW,1235,0,NA,1235,NA,779,0,NA,779,NA,349,4,17,
6/05/13 12:00,SW,-1,0,NA,-1,NA,462,1,NA,462,462,348,6,12,
7/05/13 12:00,H,965,1,NA,965,965,"""NA""",0,NA,"""NA""",NA,154,2,18,
8/05/13 12:00,H,-1,0,NA,-1,NA,462,0,NA,462,NA,79,3,14,
9/05/13 12:00,HNW,169,0,NA,169,NA,433,1,NA,433,433,69,1,14,
10/05/13 12:00,HW,1576,0,NA,1576,NA,77,0,NA,77,NA,39,6,15,
11/05/13 12:00,HSE,786,0,NA,786,NA,"""NA""",0,NA,"""NA""",NA,163,3,14,
12/05/13 12:00,R,1083,0,NA,1083,NA,"""NA""",0,NA,"""NA""",NA,212,3,16,
13/05/13 12:00,R,235,1,NA,235,235,360,1,NA,360,360,281,2,17,
14/05/13 12:00,TSW,110,1,NA,110,110,116,1,NA,116,116,251,2,17,
15/05/13 12:00,TSW,170,1,NA,170,170,175,1,NA,175,175,212,3,16,
16/05/13 12:00,SW,1295,0,NA,1295,NA,1023,"""UPDATE""",700,700,700,47,5,19,
17/05/13 12:00,H,-1,0,NA,-1,NA,443,1,NA,443,443,43,7,16,
18/05/13 12:00,H,633,1,NA,633,633,959,"""UPDATE""",680,680,680,271,4,19,
19/05/13 12:00,HNW,35,0,NA,35,NA,1091,1,NA,1091,1091,301,7,17,
20/05/13 12:00,TSW,-1,0,NA,-1,NA,555,0,NA,555,NA,273,1,18,
21/05/13 12:00,HSE,2291,0,NA,2291,NA,"""NA""",0,NA,"""NA""",NA,31,4,18,
22/05/13 12:00,R,34,0,NA,34,NA,857,0,NA,857,NA,21,3,15,
23/05/13 12:00,R,206,0,NA,206,NA,998,0,NA,998,NA,258,8,16,
24/05/13 12:00,TSW,1728,0,NA,1728,NA,988,1,NA,988,988,261,1,17,
25/05/13 12:00,TSW,118,0,NA,118,NA,881,1,NA,881,881,58,3,15,
26/05/13 12:00,SW,972,1,NA,972,972,1052,1,NA,1052,1052,233,6,17,
27/05/13 12:00,H,1564,0,NA,1564,NA,1178,1,NA,1178,1178,255,7,17,
28/05/13 12:00,H,-1,0,NA,-1,NA,876,0,NA,876,NA,159,5,7,
29/05/13 12:00,HNW,-1,0,NA,-1,NA,769,0,NA,769,NA,188,2,13,
30/05/13 12:00,H,-1,0,NA,-1,NA,1291,0,NA,1291,NA,285,3,15,
31/05/13 12:00,HSE,1506,1,NA,1506,1506,1320,1,NA,1320,1320,275,2,14,
1/06/13 12:00,W,1245,1,NA,1245,1245,1222,1,NA,1222,1222,255,5,16,
2/06/13 12:00,TSW,930,1,NA,930,930,1081,1,NA,1081,1081,263,2,16,
3/06/13 12:00,TSW,93,UPDATE,1350,1350,1350,1373,1,NA,1373,1373,96,1,14,
4/06/13 12:00,TSW,-1,0,NA,-1,NA,560,1,NA,560,560,61,7,13,
5/06/13 12:00,HW,933,1,NA,933,933,667,0,NA,667,NA,134,5,15,
6/06/13 12:00,H,986,0,NA,986,NA,"""NA""",0,NA,"""NA""",NA,165,4,14,
7/06/13 12:00,HE,-1,0,NA,-1,NA,852,0,NA,852,NA,253,1,14,
8/06/13 12:00,HE,2148,0,NA,2148,NA,677,0,NA,677,NA,48,6,16,
9/06/13 12:00,HSE,-1,0,NA,-1,NA,409,1,NA,409,409,38,1,12,
10/06/13 12:00,HSE,797,1,NA,797,797,"""NA""",0,NA,"""NA""",NA,214,2,12,
11/06/13 12:00,W,1724,UPDATE,700,700,700,638,1,NA,638,638,222,4,15,
12/06/13 12:00,TSW,1464,0,NA,1464,NA,813,1,NA,813,813,212,5,15,
13/06/13 12:00,TSW,996,1,NA,996,996,954,1,NA,954,954,213,5,15,
14/06/13 12:00,TSW,-1,0,NA,-1,NA,521,0,NA,521,NA,241,2,13,
15/06/13 12:00,HW,1512,0,NA,1512,NA,555,1,NA,555,555,57,5,14,
16/06/13 12:00,H,68,0,NA,68,NA,462,1,NA,462,462,44,9,14,
17/06/13 12:00,HE,35,0,NA,35,NA,803,0,NA,803,NA,353,4,17,
18/06/13 12:00,HE,-1,0,NA,-1,NA,209,0,NA,209,NA,16,3,18,
19/06/13 12:00,HSE,2332,0,NA,2332,NA,1544,0,NA,1544,NA,333,3,12,
20/06/13 12:00,TSW,-1,0,NA,-1,NA,750,0,NA,750,NA,280,7,10,
21/06/13 12:00,W,1634,0,NA,1634,NA,1393,0,NA,1393,NA,214,7,13,
22/06/13 12:00,TSW,1415,0,NA,1415,NA,297,0,NA,297,NA,232,9,13,
23/06/13 12:00,TSW,-1,0,NA,-1,NA,867,0,NA,867,NA,239,7,9,
24/06/13 12:00,TSW,-1,0,NA,-1,NA,643,0,NA,643,NA,273,2,12,
25/06/13 12:00,HW,1526,1,NA,1526,1526,1154,0,NA,1154,NA,244,4,15,
26/06/13 12:00,H,183,0,NA,183,NA,472,0,NA,472,NA,18,1,13,
27/06/13 12:00,HE,1766,0,NA,1766,NA,852,1,NA,852,852,129,4,11,
28/06/13 12:00,HE,1124,1,NA,1124,1124,1646,0,NA,1646,NA,151,2,12,
29/06/13 12:00,HSE,264,0,NA,264,NA,"""NA""",0,NA,"""NA""",NA,255,1,12,
30/06/13 12:00,HNW,-1,0,NA,-1,NA,721,0,NA,721,NA,278,1,12,
1/07/13 12:00,W,1573,UPDATE,1200,1200,1200,1325,1,NA,1325,1325,239,7,15,
2/07/13 12:00,W,299,UPDATE,1400,1400,1400,1417,1,NA,1417,1417,330,3,15,
3/07/13 12:00,HNW,117,0,NA,117,NA,691,0,NA,691,NA,52,3,13,
4/07/13 12:00,W,169,0,NA,169,NA,526,1,NA,526,526,170,3,15,
5/07/13 12:00,W,912,1,NA,912,912,833,1,NA,833,833,217,2,15,
6/07/13 12:00,T,975,1,NA,975,975,1130,1,NA,1130,1130,318,4,16,
7/07/13 12:00,HNW,76,0,NA,76,NA,1052,1,NA,1052,1052,273,6,16,
8/07/13 12:00,HNW,-1,0,NA,-1,NA,1471,0,NA,1471,NA,233,7,14,
9/07/13 12:00,H,-1,0,NA,-1,NA,1378,0,NA,1378,NA,286,4,12,
10/07/13 12:00,H,-1,0,NA,-1,NA,1096,0,NA,1096,NA,243,7,12,
