'date','station','tair','twet','rh','tdew'
'2012-05-26 12:00:00',22719,14.4,'''"13.6"''','''"91"''','''"13"'''
'2012-05-27 12:00:00',22719,16.4,'''"13.7"''','''"72"''','''"11.4"'''
'2012-05-28 12:00:00',22719,15.2,'''"14.1"''','''"88"''','''"13.2"'''
'2012-05-29 12:00:00',22719,14.2,'''"9.6"''','''"51"''','''"4.2"'''
'2012-05-30 12:00:00',22719,13.5,'''"9.6"''','''"57"''','''"5.2"'''
'2012-05-31 12:00:00',22719,15.4,'''"12.1"''','''"66"''','''"9.1"'''
'2012-06-01 12:00:00',22719,13.6,'''"9.4"''','''"54"''','''"4.5"'''
'2012-06-02 12:00:00',22719,14.8,'''"12.3"''','''"73"''','''"10"'''
'2012-06-03 12:00:00',22719,14.7,'''"12.1"''','''"72"''','''"9.7"'''
'2012-06-04 12:00:00',22719,15,'''"13.3"''','''"82"''','''"12"'''
'2012-06-05 12:00:00',22719,14.6,'''"12.9"''','''"81"''','''"11.4"'''
'2012-06-06 12:00:00',22719,17.6,'''"15.5"''','''"79"''','''"13.9"'''
'2012-06-07 12:00:00',22719,12.5,'''"11.1"''','''"83"''','''"9.7"'''
'2012-06-08 12:00:00',22719,13,'''"11.2"''','''"79"''','''"9.5"'''
'2012-06-09 12:00:00',22719,15.2,'''"12.8"''','''"74"''','''"10.6"'''
'2012-06-10 12:00:00',22719,14.5,'''"11.6"''','''"69"''','''"8.9"'''
'2012-06-11 12:00:00',22719,13.6,'''"12.4"''','''"86"''','''"11.3"'''
'2012-06-12 12:00:00',22719,14.4,'''"11"''','''"63"''','''"7.5"'''
'2012-06-13 12:00:00',22719,10.9,'''"7"''','''"53"''','''"1.7"'''
'2012-06-14 12:00:00',22719,12,'''"9.6"''','''"72"''','''"7.1"'''
'2012-06-15 12:00:00',22719,9.7,'''"8.6"''','''"85"''','''"7.3"'''
'2012-06-16 12:00:00',22719,10.9,'''"8.1"''','''"66"''','''"4.8"'''
'2012-06-17 12:00:00',22719,10.4,'''"6.9"''','''"57"''','''"2.3"'''
'2012-06-18 12:00:00',22719,13.2,'''"11.7"''','''"83"''','''"10.4"'''
'2012-06-19 12:00:00',22719,13.6,'''"12"''','''"82"''','''"10.6"'''
'2012-06-20 12:00:00',22719,15.8,'''"13.5"''','''"76"''','''"11.6"'''
'2012-06-21 12:00:00',22719,13,'''"11"''','''"77"''','''"9.1"'''
'2012-06-22 12:00:00',22719,14,'''"11.9"''','''"77"''','''"10.1"'''
'2012-06-23 12:00:00',22719,14.4,'''"11.9"''','''"73"''','''"9.6"'''
'2012-06-24 12:00:00',22719,14.3,'''"12.2"''','''"77"''','''"10.3"'''
'2012-06-25 12:00:00',22719,14.6,'''"11.4"''','''"66"''','''"8.3"'''
'2012-06-26 12:00:00',22719,13,'''"11.6"''','''"84"''','''"10.4"'''
'2012-06-27 12:00:00',22719,10.9,'''"8.7"''','''"73"''','''"6.3"'''
'2012-06-28 12:00:00',22719,14.2,'''"10.9"''','''"64"''','''"7.5"'''
'2012-06-29 12:00:00',22719,13.4,'''"10.4"''','''"66"''','''"7.2"'''
'2012-06-30 12:00:00',22719,8,'''"5.5"''','''"66"''','''"2.1"'''
